iter	Passed	Remaining
818	4768	1053
819	4774	1048
820	4781	1042
821	4787	1036
822	4793	1030
823	4800	1025
824	4807	1019
825	4813	1014
826	4820	1008
827	4829	1003
828	4836	997
829	4845	992
830	4854	987
831	4866	982
832	4879	978
833	4887	972
834	4897	967
835	4910	963
836	4920	958
837	4932	953
838	4942	948
839	4951	943
840	4959	937
841	4966	932
842	4974	926
843	4980	920
844	4986	914
845	4992	908
846	4998	902
847	5006	897
848	5013	891
849	5020	886
850	5042	882
851	5049	877
852	5056	871
853	5063	865
854	5070	859
855	5076	854
856	5082	848
857	5089	842
858	5094	836
859	5100	830
860	5106	824
861	5112	818
862	5118	812
863	5124	806
864	5131	800
865	5136	794
866	5142	788
867	5148	782
868	5154	777
869	5160	771
870	5168	765
871	5176	759
872	5183	754
873	5196	749
874	5206	743
875	5214	738
876	5224	732
877	5233	727
878	5243	721
879	5251	716
880	5260	710
881	5269	704
882	5278	699
883	5287	693
884	5295	688
885	5301	682
886	5306	676
887	5313	670
888	5319	664
889	5326	658
890	5332	652
891	5338	646
892	5343	640
893	5349	634
894	5355	628
895	5363	622
896	5371	616
897	5379	611
898	5389	605
899	5396	599
900	5403	593
901	5409	587
902	5416	581
903	5422	575
904	5426	569
905	5431	563
906	5436	557
907	5440	551
908	5445	545
909	5449	538
910	5454	532
911	5458	526
912	5463	520
913	5468	514
914	5472	508
915	5477	502
916	5483	496
917	5488	490
918	5494	484
919	5500	478
920	5505	472
921	5511	466
922	5517	460
923	5523	454
924	5531	448
925	5540	442
926	5548	436
927	5557	431
928	5564	425
929	5571	419
930	5578	413
931	5586	407
932	5596	401
933	5603	395
934	5610	390
935	5619	384
936	5626	378
937	5633	372
938	5639	366
939	5645	360
940	5651	354
941	5656	348
942	5662	342
943	5668	336
944	5673	330
945	5679	324
946	5685	318
947	5691	312
948	5696	306
949	5703	300
950	5710	294
951	5718	288
952	5726	282
953	5733	276
954	5740	270
955	5745	264
956	5751	258
957	5756	252
958	5760	246
959	5765	240
960	5770	234
961	5774	228
962	5779	222
